time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-11-06 20:28:52.237 UTC, ,125,7076101,327144,3647448,282800, ,112, , , , , , , , , , , ,112,33, , , ,45,8,41, , , , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,1057968936,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 20:29:52.240 UTC, ,125,7076101,327144,3647448,282800, ,112, ,137, , , , , , , , , ,112,33, , , ,45,8,41, ,128, , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,1079163768,-1, , , , , , ,128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128,9, , , , , , , 
2017-11-06 20:30:52.243 UTC, ,125,7076101,327144,3647448,282800, ,112, ,95, , , , , , , , , ,112,33, , , ,45,8,41, ,87, , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , ,1,230,1,89,168726984,-1, , , , , , ,87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,87,8, , , , , , , 
2017-11-06 20:31:52.247 UTC, ,125,7076101,327144,3647448,282800, ,112, ,126, , , , , , , , , ,112,33, , , ,45,8,41, ,123, , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,190023936,-1, , , , , , ,124, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,124,2, , , , , , , 
2017-11-06 20:32:52.251 UTC, ,125,7076101,327144,3647448,282800, ,112, ,69, , , , , , , , , ,112,33, , , ,45,8,41, ,68, , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,198163112,-1, , , , , , ,69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,69, , , , , , , , 
2017-11-06 20:33:52.255 UTC, ,125,7076101,327144,3647448,282800, ,112, , , , , , , , , , , ,112,33, , , ,45,8,41, , , , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,198163112,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 20:34:52.269 UTC, ,125,7076101,327144,3647448,282800, ,112, , , , , , , , , , , ,112,33, , , ,45,8,41, , , , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,198163112,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 20:35:52.290 UTC, ,125,7076101,327144,3647448,282800, ,112, , , , , , , , , , , ,112,33, , , ,45,8,41, , , , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,198163112,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 20:36:52.304 UTC, ,125,7076101,327144,3647448,282800, ,112, , , , , , , , , , , ,112,33, , , ,45,8,41, , , , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,198163112,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-06 20:37:52.319 UTC, ,125,7076101,327144,3647448,282800, ,112, , , , , , , , , , , ,112,33, , , ,45,8,41, , , , , , , , , , , , , , , , ,982972,78,4309,980634, , , , , ,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1509999651936, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,198163112,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
